"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"61","13145818","廣鑫輪業有限公司","高雄市仁武區仁武里仁立街15號","","1000000","0890506","1031124"
"62","13156413","億鑫發企業有限公司","高雄市鼓山區裕誠路1033之1號","","1000000","0900921","1031126"
"63","13167299","優士科技有限公司","高雄市苓雅區忠孝二路57號5樓之2","","5000000","0910308","1031111"
"64","13189131","宜紳企業有限公司","高雄市三民區大順二路24之2號","","2000000","0911030","1031118"
"65","14061864","川騰企業有限公司","臺北市中山區合江街93巷17號4樓","","5000000","0650319","1031127"
"66","15945771","合晨實業有限公司","臺北市萬華區西園路2段281巷6弄6號","","1510000","0720119","1031105"
"67","16007042","天弓模型有限公司","臺南市北區南園街一四二號","","5000000","0860519","1031105"
"68","16024464","廸雅實業有限公司","臺北市內湖區成功路5段45巷56號5樓","","16000000","0860604","1031124"
"69","16036258","眾舜電子股份有限公司","臺中市北屯區昌平路一段95之8號11樓之1","","13000000","0860616","1031120"
"70","16054522","美人網路視聽企業有限公司","新北市樹林區樹新路219巷38號","","12000000","0860703","1031126"
"71","16111376","提都企業有限公司","高雄市三民區澄和路304巷2號","","1000000","0860826","1031113"
"72","16142379","威霸系統股份有限公司","臺北市大安區市民大道3段144號3樓","","10000000","0860804","1031103"
"73","16166771","虹起有限公司","新北市汐止區宜興街22號","","1000000","0861013","1031127"
"74","16188774","商峯機器有限公司","新北市蘆洲區溪墘里8鄰中山一路95巷20弄34號","","1000000","0860806","1031112"
"75","16266841","豪駿有限公司","新竹市北大路40巷30-2號2樓B室","","5000000","0861113","1031126"
"76","16268263","昇炎實業有限公司","桃園縣龜山鄉大同村大同路二四五巷二之一六號二樓","","5000000","0861114","1031124"
"77","16316650","長夆興業開發有限公司","臺北市文山區景興路202巷11號16樓","","1000000","0870323","1031128"
"78","16343185","涵量有限公司","屏東縣枋寮鄉隆山村隆興路240巷3號","","1000000","0861215","1031124"
"79","16372694","巨富不動產仲介經紀有限公司","新北市板橋區重慶路71號5樓之10","","1000000","0870123","1031106"
"80","16375448","弘鐵工業股份有限公司","桃園縣龍潭鄉高平村高楊南路七二三號","","10000000","0870203","1031125"
"81","16426312","真祥服裝材料有限公司","新北市土城區裕民路187號3樓","","1000000","0870414","1031125"
"82","16456602","達網應用科技有限公司","高雄市前鎮區賢明路14號1樓","","1500000","0870526","1031103"
"83","16470288","裕勝漁業股份有限公司","高雄市鼓山區延平街43號","","12000000","0871028","1031117"
"84","16470463","裕進漁業股份有限公司","高雄市鼓山區延平街43號","","12000000","0871030","1031118"
"85","16472455","昱承企業有限公司","高雄市左營區自由二路114號9樓之2","","3000000","0871127","1031118"
"86","16480737","金毓陽不銹鋼有限公司","高雄市前鎮區民權二路597號","","6000000","0880331","1031113"
"87","16492733","柴來發國際有限公司","新北市三重區長元街23號3樓","","5000000","0870502","1031114"
"88","16607828","凱連特實業有限公司","臺北市信義區忠孝東路4段553巷6弄16號2樓","","1000000","0870720","1031106"
"89","16609375","靈帝投資開發股份有限公司","臺北市北投區明德路136巷5號1樓","","14800000","0870723","1031125"
"90","16627726","申原股份有限公司","臺北市中山區中山北路3段27號13樓","","1000000","0870921","1031125"
"91","16655829","科矽科技有限公司","新北市永和區河濱一九鄰林森路二十巷十八號四樓","","5000000","0870915","1031126"
"92","16681729","美資成科技有限公司","彰化縣員林鎮惠來里日泰街14號1樓","","10000000","0871023","1031113"
"93","16725629","緯豐金屬有限公司","新北市新莊區裕民里裕民街55巷2之3號4樓","","1000000","0880105","1031103"
"94","16731657","孟麒工程有限公司","新竹市千甲里水利路二十二號一樓","","3000000","0880115","1031031"
"95","16748876","亞洲商菱投資顧問股份有限公司","臺北市松山區敦化北路167號17樓","","100000000","0871124","1031117"
"96","16760499","瑞豐國際股份有限公司","臺北市大安區光復南路290巷48號1樓","","12000000","0871103","1031125"
"97","16760929","大為資訊股份有限公司","新北市中和區平河里連城路258號4樓之4","","1000000","0871104","1031104"
"98","16773136","長盛汽車興業有限公司","臺北市南港區市民大道8段586號","","800000","0871218","1031107"
"99","16781874","嬌嬌女全球國際開發股份有限公司","臺北市中山區復興北路420號12樓之1","","75000000","0880126","1031114"
"100","16781902","新城電器有限公司","臺北市北投區中央北路2段39號1樓","","520000","0880126","1031119"
"101","16788594","觀音浩盛有限公司","臺北市大同區重慶北路2段172號5樓","","60000000","0880224","1031126"
"102","16799781","路嘉國際有限公司","臺北市大同區民生西路291號6樓","","2000000","0880408","1031124"
"103","16806848","傑風工程股份有限公司","高雄市鳳山區澄清路129巷7之3號4樓","","15000000","0880621","1031125"
"104","16859014","信展冷凍設備有限公司","臺中市南屯區黎明路一段965巷42之1號1樓","","5000000","0880211","1031120"
"105","16902357","瑋如有限公司","臺中市太平區建國里建祥街9號","","2000000","0880427","1031117"
"106","16916633","帥慶家具有限公司","臺中市北屯區同榮里環中路一段1486號","","5000000","0880514","1031112"
"107","16918169","富預實業有限公司","新北市新莊區化成路364巷3號","","5000000","0880517","1031112"
"108","16924330","永大電纜有限公司","臺中市大肚區大肚里福利路118巷3號1樓","","5000000","0880525","1031106"
"109","16935596","和豐國際有限公司","臺中市北區賴福里進化北路392-2號8樓之2","","20000000","0880607","1031127"
"110","16993573","鴻暉企業有限公司","臺中市西區忠誠里精誠三街58號1樓","","5000000","0880830","1031119"
"111","18627906","永祥汽車有限公司","臺北市中正區金華街16號1樓","","5000000","0530814","1031112"
"112","20792992","昌林有限公司","新北市永和區安樂路457之1號","","10000000","0670720","1031118"
"113","20830757","華呈企業股份有限公司","臺中市南屯區三和里11鄰大墩十二街632號3樓之5","","6500000","0680803","1031124"
"114","20888808","太可企業有限公司","臺北市信義區信義路5段5號","","7500000","0700513","1031111"
"115","20890157","殷民企業股份有限公司","臺北市松山區復興北路99號13樓","","30000000","0700605","1031103"
"116","20908157","盛藝企業有限公司","臺北市信義區基隆路1段159號13樓之2","","7000000","0701215","1031107"
"117","20950083","安菱有限公司","新北市汐止區橋東里建成路78號10樓","","5000000","0720112","1031126"
"118","21256772","正時輪胎有限公司","臺北市大安區光復南路570號1樓","","1000000","0740417","1031103"
"119","22027453","遑億實業有限公司","臺北市大同區貴德街58號1樓","","1000000","0750319","1031117"
"120","22067285","協騰企業股份有限公司","臺中市太平區宜欣里富宜路138號1樓","","1000000","0750212","1031124"
"121","22098870","永銘工程有限公司","高雄市楠梓區新昌街164號7樓之3","","10000000","0750422","1031120"
"122","22241783","毓懋管理顧問有限公司","臺中市北區賴福里進化北路430巷34號","","1500000","0750815","1031031"
"123","22329491","福帆生實業有限公司","臺北市松山區南京東路5段296號7樓","","5000000","0751107","1031128"
"124","22380567","聲遠光電股份有限公司","桃園縣中壢市松江北路2號","","230000000","0760117","1031120"
"125","22410730","張發水電工程有限公司","屏東縣恆春鎮網紗里恆公路1104號1樓","","3000000","0760321","1031121"
"126","22450330","利安綢布有限公司","臺北市大同區迪化街1段21號3樓︹永樂市場3樓3017號︺","","1000000","0760506","1031104"
"127","22481431","聖峰鋼模有限公司","新北市新莊區中正路576巷26號","","6000000","0760417","1031125"
"128","22491557","輝珀實業股份有限公司","雲林縣斗南鎮小東里大同路444巷113號","","5000000","0760502","1031031"
"129","22525557","統豪電子股份有限公司","高雄市鼓山區銀川街228號1樓","","5000000","0760414","1031125"
"130","22541085","裕振漁業股份有限公司","高雄市鼓山區延平街43號","","24000000","0761105","1031120"
"131","22567958","鑫弘金屬股份有限公司","新北市蘆洲區三民路128巷32號","","20000000","0760723","1031113"
"132","22671523","協益金屬有限公司","新北市新莊區復興路1段151號1樓","","9000000","0761021","1031110"
"133","22713220","瑞源鋼模有限公司","新北市蘆洲區三民路128巷100號1樓","","1000000","0770118","1031121"
"134","22745356","金根設計印刷有限公司","新北市板橋區縣民大道3段135號","","2000000","0770123","1031114"
"135","22759267","仕登企業股份有限公司","臺北市大安區建國南路1段328號6樓","","2000000","0770302","1031128"
"136","22789662","紫榆針織有限公司","新北市板橋區文聖街132號1樓","","5280000","0770309","1031105"
"137","22796045","尚達電化製品有限公司","臺中市神岡區社南里中山路267之5號","","5000000","0770321","1031106"
"138","22820925","長泰建設股份有限公司","臺北市大安區安和路2段80號15樓","","50000000","0770416","1031111"
"139","22836243","連偕興企業有限公司","高雄市左營區新中街156號1樓","","5000000","0770826","1031106"
"140","22850125","裕偉漁業股份有限公司","高雄市鼓山區延平街43號","","9600000","0780228","1031118"
"141","22859272","潤昌興業有限公司","新北市中和區中山路二段六四巷二○之一號","","5000000","0770325","1031105"
"142","22882914","欣欣企業有限公司","臺北市士林區延平北路5段92號","","30000000","0770512","1031120"
"143","22942650","象王膠業有限公司","彰化縣員林鎮三和里合作街七○之一號","","600000","0770610","1031126"
"144","22973885","華新地毯有限公司","桃園縣平鎮市復旦里廣德街62號1樓","","5000000","0770720","1031112"
"145","22978426","東煌水電工程有限公司","臺中市南區工學北路246號1樓","","5000000","0770727","1031121"
"146","23018517","瑞隆建設股份有限公司","臺北市大安區仁愛路3段32號8樓","","35000000","0770709","1031124"
"147","23018869","林得電機有限公司","臺北市內湖區康寧路3段189巷21弄12號1樓","","2000000","0770711","1031126"
"148","23082030","寧邦股份有限公司","桃園縣桃園市玉山街146巷8號","","5000000","0771024","1031124"
"149","23203604","明仁醫藥股份有限公司","","","0","0780224","1031121"
"150","23203652","燦昇實業有限公司","臺中市南屯區大墩南路412號1樓","","10000000","0780224","1031103"
"151","23257875","東鉅塑膠工業有限公司","新北市樹林區保安二街一五三號","","1000000","0780505","1031126"
"152","23274500","豪巨精密研磨工業股份有限公司","臺南市永康區鹽行里中正三街455巷12號","","5520000","0780530","1031114"
"153","23340059","伯維企業有限公司","高雄市苓雅區武廟路73號4樓之3","","4000000","0780821","1031120"
"154","23341260","愛倫股份有限公司","高雄市左營區德威街77號","","5000000","0780905","1031117"
"155","23347877","宏偉鋁業股份有限公司","高雄市苓雅區中正一路171號","","20000000","0781123","1031031"
"156","23383211","金保實業有限公司","嘉義縣中埔鄉和睦村公館四之五號","","500000","0780704","1031118"
"157","23396237","仲謚鋼模股份有限公司","新北市三重區忠孝路3段7巷29號1樓","","1800000","0780725","1031127"
"158","23402929","喬華興業股份有限公司","臺南市佳里區新生路348號","","12000000","0780805","1031105"
"159","23472419","歐華開發投資股份有限公司","臺北市中山區長安東路1段9號9樓","","97500000","0780923","1031125"
"160","23489501","彰優股份有限公司","彰化縣彰化市平和里曉陽路三二三號","","5000000","0780908","1031111"
"161","23502997","鐙鍵企業有限公司","彰化縣員林鎮新生里福榮街104號","","500000","0781011","1031104"
"162","23555543","掌潭加油站股份有限公司","嘉義縣東石鄉掌潭村1鄰9之66號","","8000000","0790124","1031105"
"163","23561340","東陽家具有限公司","新北市板橋區大觀路2段156巷2之3號1樓","","1000000","0781213","1031121"
"164","23578193","恒富實業有限公司","嘉義縣民雄鄉寮頂村頂寮路四五號","","1600000","0790217","1031031"
"165","23591597","定律風險管理顧問股份有限公司","臺北市松山區南京東路3段311號5樓","","5100000","0781118","1031126"
"166","23592929","漢蕎行股份有限公司","臺北市松山區南京東路4段75號12樓","","8000000","0781121","1031105"
"167","23617055","智控科技股份有限公司","臺北市大安區復興南路2段381號之1","","15000000","0790203","1031119"
"168","23619912","誠仕股份有限公司","臺北市松山區八德路2段358號6樓","","5000000","0790214","1031104"
"169","23621585","雅登汽車百貨有限公司","臺北市松山區東興路6號1樓","","1000000","0790217","1031107"
"170","23623211","一九達防水測漏有限公司","臺北市萬華區莒光路347巷27弄9號1樓","","3000000","0790222","1031107"
"171","23690750","集皇企業有限公司","新北市板橋區中山路二段四一六巷五○弄四號一樓","","5000000","0790402","1031120"
"172","23716273","昶冠實業有限公司","雲林縣斗六市復興路79號","","500000","0790509","1031117"
"173","23732626","暉昇室內裝修工程股份有限公司","臺北市文山區景美街61號1樓","","5000000","0790418","1031103"
"174","23736088","富祥電器有限公司","臺北市信義區虎林街101巷11號","","1000000","0790426","1031120"
"175","23736117","加安健康器具企業有限公司","臺北市萬華區艋舺大道120巷11弄20號1樓","","5000000","0790426","1031105"
"176","23749984","頂順報關有限公司","桃園縣大園鄉菓林村33鄰拔子林27之25號","","5000000","0790520","1031124"
"177","23751263","三會有限公司","臺北市信義區富錦街523號1樓","","1000000","0790531","1031121"
"178","23774982","磐興實業有限公司","臺中市神岡區豐洲里豐洲路30號","","5000000","0790522","1031127"
"179","23781029","長意工程有限公司","新北市中和區立人街六之二號","","5000000","0790531","1031121"
"180","23796965","谷金企業股份有限公司","桃園縣大溪鎮瑞源里石園路二七六巷十號","","5000000","0790627","1031120"
"181","23865414","銘星超快彩色冲印有限公司","新北市蘆洲區信義路二一八號一樓","","1000000","0791015","1031120"
"182","23875601","三達航空貨運承攬股份有限公司","臺中市西屯區天水西二街三一號一樓","","5000000","0791101","1031119"
"183","24202126","三建國際貿易有限公司","臺中市北屯區仁美里豐樂路3巷31號1樓","","3000000","0970717","1031105"
"184","24203835","元碩食品有限公司","新北市汐止區福德一路141巷30號","","2000000","0970722","1031119"
"185","24213480","德貿興有限公司","臺中市南屯區黎明里干城街301號2樓之3","","2000000","0970806","1031121"
"186","24226226","記典光電科技有限公司","臺中市北屯區水景街126巷7號2樓","","500000","0970829","1031107"
"187","24228343","匯嘉恆昇企業有限公司","臺南市中西區成功路377號四樓","","5000000","0970903","1031127"
"188","24239138","儂芳國際股份有限公司","彰化縣埔心鄉經口村3鄰中山路207巷3弄22號2樓","","2000000","0970924","1031125"
"189","24250392","泉銀企管顧問有限公司","新北市新店區吉祥街15巷34號3樓","","1000000","0971016","1031117"
"190","24261551","雄德工程有限公司","桃園縣龜山鄉樂善村文安街48號4樓","","250000","0971106","1031120"
"191","24263214","亞麻尼國際貿易有限公司","桃園縣桃園市莊敬路2段66號1樓","","1000000","0971110","1031127"
"192","24275611","漢馨線上有限公司","新北市三重區中興里重新路五段609巷6號2樓","","1000000","0971205","1031120"
"193","24277863","勛穎貿易有限公司","臺南市永康區大橋里大橋二街24號7樓之4","","3000000","0971210","1031107"
"194","24281064","高僑電子有限公司","新北市汐止區大同路一段286巷18號三樓","","1000000","0971217","1031111"
"195","24304828","大鉦工程實業有限公司","基隆市信義區深澳坑路6巷125號6樓","","1000000","0971104","1031113"
"196","24309648","高節能科技有限公司","臺北市萬華區中華路1段78號9樓","","3000000","0971125","1031121"
"197","24322451","百誠開發股份有限公司","臺北市大安區建國南路1段161號9樓","","10000000","0980202","1031110"
"198","24330810","設計家留遊學有限公司","臺北市中正區重慶南路1段99號11樓之9","","500000","0980313","1031126"
"199","24337010","喬譜企業有限公司","臺北市信義區大道路13號2樓","","250000","0980407","1031117"
"200","24340726","京華金國際有限公司","新北市鶯歌區二甲路45-5號","","500000","0980421","1031127"
