"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
2824,"54777957","鑫邦機電股份有限公司","桃園縣龜山鄉大湖村文二一街8號5樓之5","杜俊憲",1000000,"1030116"
2825,"54777963","雞蛋花有限公司","彰化縣鹿港鎮溝墘里鹿和路三段493號","陳美利",100000,"1030116"
2826,"54777979","清宮藝品有限公司","花蓮縣花蓮市林森路23號、25號","張維松",1000000,"1030116"
2827,"54777984","泓維資訊科技股份有限公司","新竹市北區水田里經國路二段56號四樓之2","吳昇璋",1000000,"1030116"
2828,"54777990","永晟光電科技股份有限公司","彰化縣永靖鄉永東村東門路247號1樓","蕭屹恆",2300000,"1030116"
2829,"54778007","聯亞鋼鐵有限公司","桃園縣中壢市忠義里中園路36-1號2樓","陳致宏",1000000,"1030116"
2830,"54778013","新捷開發股份有限公司","新竹市北區舊社里光華二街81巷10弄55號1樓","陳秀如",6000000,"1030116"
2831,"54778029","德村工程有限公司","桃園縣八德市白鷺里崁頂路1386之2號1樓","李佩芬",500000,"1030116"
2832,"54778034","升泓建設有限公司","宜蘭縣宜蘭市東村里縣民大道2段890號一樓","謝世興",7500000,"1030116"
2833,"54778040","玉峰土木包工業有限公司","臺東縣臺東市興國里信義路166號1樓","林政志",800000,"1030116"
2834,"54778055","富祿建設有限公司","新竹市明湖里明湖路1008巷25弄2號1樓","黃富祿",1000000,"1030116"
2835,"54778061","詠任建設有限公司","桃園縣桃園市金門二街3號1樓","楊志良",100000,"1030116"
2836,"54778077","前衛公共關係顧問有限公司","桃園縣大園鄉五權村五青路224號","廖重助",1000000,"1030116"
2837,"54778082","鴻栗畜產有限公司","屏東縣萬丹鄉磚寮村昌隆路13號","洪興旋",1000000,"1030116"
2838,"54778098","金世紀不動產經紀有限公司","新竹縣新豐鄉松柏村康泰路28號1樓","曾甫程",500000,"1030110"
2839,"54778105","邦申有限公司","桃園縣桃園市中平里宏昌六街122號5樓","莊淑真",8000000,"1030116"
2840,"54778111","翡翠莊園國際貿易實業有限公司","桃園縣桃園市武陵里民生路52號1樓","王新閎",1000000,"1030116"
2841,"54778127","群閎實業有限公司","桃園縣蘆竹鄉南興村奉化路68號8樓","陳誼凡",3000000,"1030116"
2842,"54778132","紘緣食品有限公司","宜蘭縣宜蘭市復興里復興路1段92號2樓","游采琳",300000,"1030116"
2843,"54778148","台灣博士鴨食品股份有限公司","宜蘭縣宜蘭市新興里光復路14號1樓","李明衍",1000000,"1030116"
2844,"54778153","冠璟企業有限公司","嘉義市西區育英里民生南路159號2樓","陳添利",1001000,"1030116"
2845,"54778169","台灣思肯德股份有限公司","基隆市七堵區百福里福五街173號","許志銘",3000000,"1030116"
2846,"54778175","木泉科技有限公司","新竹縣竹東鎮員山路266之1號","樂亦宏",5000000,"1030116"
2847,"54778180","三代居建設有限公司","嘉義市西區竹圍里友愛路333號1樓","黃俊仁",25000000,"1030116"
2848,"54778196","寬晟文創股份有限公司","基隆市七堵區綠葉街101號2樓","金鈺欣",500000,"1030116"
2849,"54778203","建綺股份有限公司","彰化縣和美鎮糖友里健康新村二街19號1樓","楊儒松",2000000,"1030116"
2850,"54778219","新坡輪胎有限公司","桃園縣觀音鄉大同村環中路431號1樓","呂金在",20000000,"1030116"
2851,"54778225","喆富創新科技股份有限公司","新竹市龍山里7鄰光復路一段472號6樓之七","梁偉成",1000000,"1030116"
2852,"54778230","暮暮有限公司","新竹市東區三民路6號2樓","林清丞",200000,"1030116"
2853,"54778246","百鋒開發工程有限公司","嘉義市西區劉厝里大愛街38之5號1樓","簡美琦",4000000,"1030117"
2854,"54778251","詣誠有限公司","宜蘭縣頭城鎮青雲路二段629巷18號7樓","張信誠",1000000,"1030117"
2855,"54778267","上豐農產加工廠有限公司","雲林縣斗南鎮石溪里化日路7巷3號","廖永池",5000000,"1030117"
2856,"54778273","廣碩通信工程有限公司","彰化縣北斗鎮西安里中山路2段51號1樓","曹榮義",100000,"1030117"
2857,"54778294","喆光照明光電股份有限公司","新竹市龍山里7鄰光復路一段４７２號六樓之７","武靜芬",3000000,"1030117"
2858,"54778301","加貝食品科技有限公司","嘉義市西區保福里國治街38號1樓","林麗玲",300000,"1030117"
2859,"54778317","方氏國際設計有限公司","桃園縣蘆竹鄉南崁村經國路892號5樓","方智頴",300000,"1030117"
2860,"54778323","昶泰電機有限公司","桃園縣桃園市龍岡里江南三街37號1樓","黃仁泉",1000000,"1030117"
2861,"54778338","臺灣運城製版股份有限公司","南投縣南投市永豐里工業北五路4號","王暐佳",1000000,"1030117"
2862,"54778359","高尚工業有限公司","苗栗縣竹南鎮大厝里10鄰獅山6-25號","汪玉英",5000000,"1030117"
2863,"54778365","東昇太陽光電有限公司","雲林縣褒忠鄉龍岩村三和路15-1號","陳金鎮",3000000,"1030117"
2864,"54778371","陞遠開發有限公司","桃園縣桃園市國豐六街60巷14號1樓","王明權",3000000,"1030117"
2865,"54778386","順昇工程有限公司","桃園縣中壢市金華里九和二街7號7樓之3","呂淳苑",50000,"1030117"
2866,"54778392","培新興業有限公司","桃園縣桃園市永興里北興街93號1樓","邱俊逸",500000,"1030117"
2867,"54778409","棨翔有限公司","桃園縣平鎮市廣達里廣成街5號1樓","何彥慶",500000,"1030117"
2868,"54778415","彩虹風車電子遊戲場業有限公司","新竹市東區成功里林森路33號1樓","李梨君",500000,"1030117"
2869,"54778421","方圓創意室內設計有限公司","宜蘭縣五結鄉福興村新五路50巷3號1樓","鄧國琳",1000000,"1030117"
2870,"54778436","捷訊精密有限公司","桃園縣平鎮市義民里環南路2段11號14樓之4","楊萬城",1000000,"1030117"
2871,"54778457","六宏佳企業有限公司","桃園縣平鎮市宋屋里延平路三段411巷96號1樓","莊添旺",1000000,"1030117"
2872,"54778463","利禾柏有限公司","新竹市東勢里八德路161號7樓","何玄政",1000000,"1030117"
2873,"54778479","日清國際有限公司","桃園縣中壢市中央西路二段281號7樓","劉資群",10000000,"1030117"
2874,"54778484","聯合蘭業有限公司","屏東縣東港鎮船頭里沿海五路276巷10號1樓","許秀瑛",1000000,"1030117"
2875,"54778490","晟安工程有限公司","桃園縣大溪鎮田心里中華路127巷26弄15號1樓","邱垂銘",3000000,"1030117"
2876,"54778506","星華電子有限公司","新竹縣竹北市自強南路53號3樓","郭坤星",3000000,"1030117"
2877,"54778512","晟豐生物科技有限公司","桃園縣楊梅市金溪里迎旭三街14巷39號1樓","陸金誠",5000000,"1030117"
2878,"54778528","立圓工程有限公司","桃園縣大溪鎮義和里福山二路132號1樓","曾繁田",1200000,"1030117"
2879,"54778533","神霖海事工程有限公司","宜蘭縣五結鄉中正路二段263號1樓","林明岳",10000000,"1030117"
2880,"54778549","玄集工程有限公司","屏東縣屏東市永安里建興南路55巷4號1樓","鄭岳玄",1000000,"1030117"
2881,"54778554","吉洋科技有限公司","雲林縣大埤鄉嘉興村15鄰豐田路１３號","劉信利",1000000,"1030117"
2882,"54778560","昇翊企劃有限公司","南投縣竹山鎮延祥里23鄰瑞竹巷25弄39號1樓","陳柏霖",100000,"1030117"
2883,"54778576","潁頂有限公司","花蓮縣吉安鄉南昌村南昌路91號1樓","徐霞芳",1000000,"1030117"
2884,"54778581","尚禹工程顧問有限公司","嘉義市西區劉厝里大忠街28號1樓","傅正堯",300000,"1030120"
2885,"54778597","朝翔科技有限公司","桃園縣桃園市永安北路392號1樓","楊文樺",5000000,"1030120"
2886,"54778610","方博科技有限公司","新竹縣竹北市北崙里縣政十一街68號七樓","陳世豪",500000,"1030120"
2887,"54778626","鼎基開發有限公司","桃園縣桃園市雙峰路172號2樓之2","張芫萍",300000,"1030120"
2888,"54778631","興協昌建設股份有限公司","彰化縣秀水鄉曾厝村大厝巷12-1號","昌益荃",3000000,"1030120"
2889,"54778647","鼎泰國際貿易有限公司","新竹市東區振興里興中街34號2樓","楊注清",1200000,"1030120"
2890,"54778652","榮沁企業有限公司","臺東縣臺東市南榮里更生路1097號1樓","徐怡珍",1000000,"1030120"
2891,"54778668","澄錡科技整合有限公司","苗栗縣通霄鎮城北里城北112號","張全淵",1000000,"1030120"
2892,"54778674","欣富開發有限公司","桃園縣桃園市豐林里介壽路16號1樓","李建和",1000000,"1030120"
2893,"54778689","容崧有限公司","新竹市東區東山里10鄰培英街15巷4號5樓","賴榕唯",200000,"1030120"
2894,"54778695","居易技術顧問有限公司","彰化縣彰化市彰南路5段395號1樓","許煜聖",1000000,"1030120"
2895,"54778702","衣衣夫人網路購物商店有限公司","花蓮縣花蓮市國民七街53號三樓之23","游世宏",1000000,"1030120"
2896,"54778718","綠映國際有限公司","新竹縣竹北市鹿埸里成功十五街60號1樓","張儷馨",2000000,"1030120"
2897,"54778724","浤鈦有限公司","新竹市牛埔路178號1樓","王慶賢",1000000,"1030120"
2898,"54778739","鎮大行銷有限公司","桃園縣桃園市萬壽里安東街11號1樓","黃宇宏",500000,"1030120"
2899,"54778745","九福國際開發有限公司","彰化縣彰化市西興里金馬路三段635號","洪國偉",1000000,"1030120"
2900,"54778750","福味食品有限公司","屏東縣東港鎮鎮海里鎮海路25號","洪佳瑜",200000,"1030120"
2901,"54778766","宥泓科技有限公司","桃園縣蘆竹鄉瓦窯村南山路1段387號1樓","陳石枝",1000000,"1030120"
2902,"54778772","泰利達科技有限公司","桃園縣平鎮市北貴里大仁街24號","羅純姍",1000000,"1030120"
2903,"54778787","泳珍液元素有限公司","桃園縣楊梅市楊明里新農街362號9樓","陳秋珍",200000,"1030120"
2904,"54778793","俊昇綠能有限公司","雲林縣口湖鄉埔南村外埔路97號1樓","吳俊昇",300000,"1030120"
2905,"54778800","擁鑫實業有限公司","桃園縣平鎮市福林里莊福路15巷10號1樓","沈銘俊",2000000,"1030120"
2906,"54778816","北斗星科技有限公司","桃園縣楊梅市瑞塘里福羚路56號10樓","歐坤煌",2000000,"1030120"
2907,"54778822","紫群建設股份有限公司","新竹市香山區香村里國中街33號1樓","劉元明",5000000,"1030120"
2908,"54778837","久濬科技有限公司","新竹市東區金山二十三街91號2樓之3","陳建隆",1000000,"1030120"
2909,"54778843","崧富有限公司","新竹縣竹北市六家五路二段210號21樓之3","林佳穎",500000,"1030120"
2910,"54778858","聖諾照明系統有限公司","新竹市延平路3段556-3號1樓","王心誼",1000000,"1030120"
2911,"54778864","程勝開發有限公司","桃園縣蘆竹鄉上竹村明德街46號3樓","張永松",5000000,"1030120"
2912,"54778870","達拉國際有限公司","新竹縣新埔鎮下寮里義民路三段717巷161號1樓","魏淑芬",1000000,"1030120"
2913,"54778885","宏達國際人力顧問有限公司","桃園縣桃園市永安里中正三街137號7樓之5","李智宏",5000000,"1030120"
