"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
58,"03493703","裕臺企業股份有限公司","臺北市中山區八德路2段232號6樓","黃章榮",635000000,"1021230"
59,"03543210","台榮產業股份有限公司","臺北市中山區南京東路2段206號6樓","陳維讓",1770779440,"1021218"
60,"03570519","德成發企業股份有限公司","臺北市中山區南京東路2段206號6樓","陳彩玉",30000000,"1021217"
61,"03606306","聯影企業股份有限公司","臺北市萬華區峨眉街122號6樓之1","徐惠春",1200000,"1021217"
62,"03606903","鴻儒堂書局股份有限公司","臺北市中正區漢口街1段35號3樓","黃成業",8000000,"1021203"
63,"03703503","中央日報社股份有限公司","臺北市中山區八德路2段232號9樓","黃章榮",780000000,"1021230"
64,"03705903","兆豐國際商業銀行股份有限公司","臺北市中山區中原里吉林路100號","蔡友才",77000000000,"1021230"
65,"03710808","臺灣中華日報社股份有限公司","臺南市北區西華街57號","胡鴻仁",458295360,"1021219"
66,"03715108","天南廣播股份有限公司","臺北市士林區承德路4段235號7樓","林大衛",9000000,"1021211"
67,"03741302","中華郵政股份有限公司","臺北市大安區永康里金山南路2段55號","翁文祺",40000000000,"1021230"
68,"04200183","興南實業股份有限公司","臺北市內湖區大湖街131巷2弄6號1樓","李正斌",53620000,"1021226"
69,"04201063","凱維股份有限公司","臺北市中山區南京東路2段206號6樓","陳維讓",12500000,"1021212"
70,"04227486","金合城銀樓有限公司","臺北市中正區衡陽路31號1樓","何秀足",12000000,"1021230"
71,"04243562","聚和國際股份有限公司","高雄市大寮區潮寮里華東路28號","郭聰田",1663261100,"1021231"
72,"04260576","祺煜機電工程有限公司","桃園縣蘆竹鄉南崁路2段88號  ","陳國雄",22000000,"1021230"
73,"04266017","豐隆建設股份有限公司","臺北市萬華區西寧南路263號1樓","任浩鈞",20000000,"1021227"
74,"04280398","聯邦染整股份有限公司","臺北市大同區西寧北路70號4樓之2","林張素娥",193166000,"1021219"
75,"04284893","六福實業股份有限公司","臺北市萬華區漢口街2段54號4樓及地下室","陳明裕",90000000,"1021219"
76,"04285984","長助企業有限公司","新北市樹林區三俊街271號","張松源",1000000,"1021230"
77,"04290543","重陽電機有限公司","臺北市大同區重慶北路3段113巷58號","曹階得",1500000,"1021211"
78,"04295879","台北永昌印刷股份有限公司","臺北市大同區重慶北路3段252巷9號1樓","施昌榕",37000000,"1021230"
79,"04305052","首善有限公司","臺北市內湖區行愛路77巷16號6樓","袁世華",1750000,"1021205"
80,"04308375","佳懋實業有限公司","新北市中和區員山路327巷68號5樓","鄭王銘",2000000,"1021211"
81,"04315397","康福旅行社股份有限公司","臺北市中山區南京東路2段98號4樓","黃明峰",461945000,"1021213"
82,"04348828","高頂貿易股份有限公司","臺北市大同區民權西路144巷5弄5號2樓之3","林瞳霓",1000000,"1021206"
83,"04355192","唯益實業股份有限公司","臺北市大同區貴德街44巷2號","陳益隆",12000000,"1021211"
84,"04359253","星美交通有限公司","臺北市松山區南京東路4段56號9樓之1","許君萍",5000000,"1021220"
85,"04359789","劍麟股份有限公司","新北市汐止區新台五路1段98號19樓","黃正怡",717050400,"1021211"
86,"04366655","寬和開發股份有限公司","臺北市中山區明水路593號地下1樓","葉哲正",3912730000,"1021203"
87,"04375248","台灣留蘭香股份有限公司","臺北市中正區忠孝東路1段112號9樓","楊耀源(Michael Yeung)",94000000,"1021216"
88,"04376345","田園交通事業有限公司","臺北市士林區葫蘆街110號1樓","羅貴蘭",5000000,"1021218"
89,"04377203","偉良航空貨運代理有限公司","臺北市松山區民生東路4段97巷2弄14號1樓","周璟帆",15000000,"1021202"
90,"04380468","大輝窯業股份有限公司","臺北市北投區明德路203之7號2樓","陳憲章",4500000,"1021226"
91,"04393941","亞泰金屬工業股份有限公司","臺北市內湖區堤頂大道2段201號3樓","高萬財",138862500,"1021209"
92,"04398241","攝陽企業股份有限公司","新北市五股區五工三路105號5樓","林照明",5100000,"1021230"
93,"04403862","鴻元生技股份有限公司","臺中市北屯區平安里13鄰崇德路二段128號6樓之2","謝陳美蘭",160000000,"1021205"
94,"04406559","長榮國際儲運股份有限公司","桃園縣桃園市經國路899號","陳清標",10671410940,"1021213"
95,"04409492","山仁實業有限公司","臺北市中山區長安東路2段178號10樓","唐新華",5000000,"1021202"
96,"04410792","開南旅行社股份有限公司","臺北市中正區信義路2段23號3樓之5","黃尹德",6000000,"1021216"
97,"04414951","謙輝貿易股份有限公司","臺南市中西區臨安路1段239號","魏林卿",20000000,"1021225"
98,"04420193","百全實業股份有限公司","臺北市中山區松江路139號4樓","莊政華",20000000,"1021217"
99,"04421448","華夏保險經紀人股份有限公司","臺北市中山區復興北路170、172號11樓","李義明",10000000,"1021212"
100,"04426529","攸聯企業股份有限公司","新北市三重區重新路5段609巷8號2樓之5","劉國彰",20000000,"1021223"
101,"04439910","錦源水泥製品股份有限公司","臺北市中山區建國北路1段69號9樓","王文彬",156000000,"1021213"
102,"04440043","惠東企業有限公司","臺北市大同區太原路156號之2、5樓","陳春霖",2000000,"1021204"
103,"04449614","臺聯鋁業股份有限公司","臺北市大同區天水路42號10樓","吳柏淞",25200000,"1021202"
104,"04452259","翔安興業有限公司","臺北市中正區愛國東路92號","黃景彬",2000000,"1021203"
105,"04466514","青鷹國際有限公司","新北市五股區五權六路15號(3樓)","林清錦",20000000,"1021220"
106,"04469511","聯銘貿易股份有限公司","臺北市中山區南京西路5之1號9樓","李正夫",75000000,"1021206"
107,"04487905","耀瀚股份有限公司","新北市新莊區福營路145巷31號","方水順",35000000,"1021231"
108,"04493619","臺全投資股份有限公司","臺北市中山區松江路136號10樓","陳承志",198000000,"1021216"
109,"04502835","山下有限公司","臺中市北區崇德里崇德路一段532號1樓","林山下",5420000,"1021206"
110,"04507557","尚弘實業有限公司","新北市新店區中正路518巷11號1樓","于碧琴",20000000,"1021213"
111,"04528390","長春雜糧股份有限公司","臺北市萬華區和平西路3段49號1樓","邱陳敏珠",60000000,"1021209"
