smeetingDate,meetingRoom,meetingTypeName,jointCommittee,meetingName,meetingContent,legislatorNameList,
107/11/15,九樓大禮堂,司法及法制委員會,無,立法院第9屆第6會期司法及法制委員會第14次全體委員會議,一、邀請司法院秘書長列席說明立法計畫，並備質詢。二、審查108年度中央政府總預算案關於司法院及所屬主管收支部分。三、審查司法院函送「財團法人法律扶助基金會108年度預算書」案。,林德福;黃國昌;周春米;許智傑;吳志揚;鍾孔炤;李俊俋;曾銘宗;鄭天財Sra．Kacaw;林奕華;尤美女;段宜康;林為洲;許毓仁,
107/11/15,紅樓201會議室,朝野黨團協商(交通委員會),無,立法院朝野黨團協商,{取消}併案審查行政院函請審議、委員莊瑞雄等16人、委員許毓仁等17人及委員李麗芬等18人分別擬具「數位通訊傳播法草案」案。,,
107/11/15,群賢樓801會議室,社會福利及衛生環境委員會,無,立法院第9屆第6會期社會福利及衛生環境委員會第13次全體委員會議,一、審查中華民國108年度中央政府總預算關於衛生福利部主管預算(公務預算及基金)案。二、審查衛生福利部函送財團法人醫院評鑑暨醫療品質策進會、財團法人器官捐贈移植登錄中心、財團法人鄒濟勳醫學研究發展基金會、財團法人醫藥品查驗中心、財團法人藥害救濟基金會、醫療財團法人病理發展基金會、財團法人賑災基金會、財團法人惠眾醫療救濟基金會及財團法人婦女權益促進發展基金會108年度預算書及相關資料案。三、審查行政院函送財團法人國家衛生研究院108年度工作計畫及收支預算案。(以上3案僅進行綜合詢答),吳玉琴;陳曼麗;陳宜民;吳焜裕;黃秀芳;林德福;邱泰源;林靜儀;王育敏;陳靜敏;蔣萬安;趙天麟;徐志榮;鄭天財Sra．Kacaw;李麗芬;楊曜;陳瑩;吳志揚;林奕華;曾銘宗;高潞．以用．巴魕剌Kawlo．Iyun．Pacidal;鍾孔炤;許淑華,
107/11/15,紅樓101會議室,朝野黨團協商(經濟委員會),無,立法院朝野黨團協商,本院經濟委員會報告審查委員楊曜等22人擬具「漁業法第五十九條之一及第七十一條條文修正草案」案。,,
107/11/15,紅樓101會議室,經濟委員會,無,立法院第9屆第6會期經濟委員會第8次全體委員會議,繼續審查108年度中央政府總預算案關於行政院農業委員會及所屬單位預算部分。(11月12日、14日及15日三天一次會),,
107/11/15,群賢樓101會議室,教育及文化委員會,無,立法院第9屆第6會期教育及文化委員會第8次全體委員會議,一、繼續審查108年度中央政府總預算案有關國立故宮博物院單位預算案。二、繼續審查108年度中央政府總預算案有關國立故宮博物院主管故宮文物藝術發展基金附屬單位預算案。（11月12日、14日及15日三天一次會）,,
107/11/15,紅樓201會議室,交通委員會,無,立法院第9屆第6會期交通委員會第8次全體委員會議,一、審查108年度中央政府總預算案關於國家通訊傳播委員會單位預算。二、審查108年度中央政府總預算案附屬單位預算非營業部分關於國家通訊傳播委員會主管通訊傳播監督管理基金預算。三、審查108年度中央政府總預算案附屬單位預算非營業部分關於國家通訊傳播委員會主管有線廣播電視事業發展基金預算。(以上3案進行處理)(11月12日、15日二天一次會),,
107/11/15,紅樓301會議室,外交及國防委員會,無,立法院第9屆第6會期外交及國防委員會第15次全體委員會議【含秘密會議】,一、審查108年度中央政府總預算案關於國防部主管收支機密及公開部分（不含國家安全局部分)。二、審查108年度中央政府總預算案附屬單位預算關於國防部主管非營業基金：（一）作業基金：１、國軍生產及服務作業基金。２、國軍老舊眷村改建基金。（二）資本計畫基金－國軍營舍及設施改建基金。(詢答)(11月14日及15日二天一次會),,
107/11/15,紅樓202會議室,內政委員會,無,立法院第9屆第6會期內政委員會第13次全體委員會議,11月12日（星期一）一、審查108年度中央政府總預算案關於行政院部分。二、審查行政院「辦理政策宣導相關之廣告彙整表」共3案。11月14日(星期三)一、審查108年度中央政府總預算案關於客家委員會及所屬部分。二、審查客家委員會及所屬「補、捐（獎）助其他政府機關、團體或個人經費報告表」共2案。三、審查客家委員會及所屬「辦理政策宣導相關之廣告彙整表」共3案。11月15日(星期四)一、審查108年度中央政府總預算案關於海洋委員會、海巡署及所屬、海洋保育署部分。二、審查行政院海岸巡防署函送該署暨所屬機關106年第3季辦理政策宣導相關廣告執行情形，請查照案。(三天一次會),洪宗熠;劉世芳;張宏陸;黃昭順;蔣絜安;鄭天財Sra．Kacaw;管碧玲;陳怡潔;林奕華;曾銘宗;孔文吉;莊瑞雄;鍾孔炤;蕭美琴;尤美女;林淑芬,
107/11/16,群賢樓101會議室,經費稽核委員會,無,立法院第123屆經費稽核委員會第3次會議,一、宣讀上次會議議事錄二、報告本院107年度預算執行情形(截至107年10月止),,
107/11/19,群賢樓801會議室,社會福利及衛生環境委員會,無,立法院第9屆第6會期社會福利及衛生環境委員會第14次全體委員會議,繼續審查中華民國108年度中央政府總預算關於行政院環境保護署主管預算(公務預算及基金)案。(預算處理),,
107/11/19,群賢樓101會議室,財政委員會,無,立法院第9屆第6會期財政委員會第11次全體委員會議,邀請行政院主計總處、審計部針對國家安全局、法務部調查局、內政部警政署、內政部警政署刑事警察局、國防部軍事情報局、國防部政治作戰局、國防部憲兵指揮部等情治系統單位有關「通訊監察」與「電訊工作」等通訊業務近3年(104年度至106年度)相關經費編列與執行情形，進行專題報告，並備質詢。(報告秘密，詢答公開)(11月19日及11月21日兩天一次會),吳秉叡;曾銘宗;賴士葆;徐永明;余宛如;施義芳;郭正亮;王榮璋;蔡易餘;費鴻泰;劉世芳;蔣乃辛;高潞．以用．巴魕剌Kawlo．Iyun．Pacidal;邱志偉;何欣純;林奕華;高金素梅;劉建國;鄭天財Sra．Kacaw;江永昌;黃國昌;陳賴素美;羅明才,
107/11/19,紅樓101會議室,經濟委員會,無,立法院第9屆第6會期經濟委員會第9次全體委員會議,一、邀請行政院農業委員會主任委員、公平交易委員會主任委員針對我國近五年農產品價格是否平穩、產銷失衡及台北農產運銷公司年初休市風波造成菜價不穩事件進行報告，並備質詢。二、繼續審查108年度中央政府總預算案關於公平交易委員會單位預算及附屬單位預算非營業部分關於公平交易委員會主管：反托拉斯基金。三、繼續審查：(一)本院委員王育敏等20人擬具「動物保護法第四條、第四條之一及第二十三條條文修正草案」案。(二)本院委員蘇巧慧等20人擬具「動物保護法第二十三條條文修正草案」案。(11月19日、21日及22日三天一次會),林岱樺;莊瑞雄;賴瑞隆;廖國棟Sufin．Siluko;陳超明;高潞．以用．巴魕剌Kawlo．Iyun．Pacidal;鄭運鵬;蘇震清;周陳秀霞;江啟臣;呂玉玲;曾銘宗;鄭天財Sra．Kacaw;何欣純;葉宜津;林奕華;劉世芳;蔣乃辛;邱志偉;羅明才;高志鵬,
