SiteName,MonitorDate,Concentration,ItemUnit
新竹,2019-12-14,12,μg/m3
竹東,2019-12-14,11,μg/m3
平鎮,2019-12-14,10,μg/m3
桃園,2019-12-14,10,μg/m3
萬華,2019-12-14,10,μg/m3
士林,2019-12-14,9,μg/m3
板橋,2019-12-14,10,μg/m3
汐止,2019-12-14,10,μg/m3
基隆,2019-12-14,10,μg/m3
馬公,2019-12-11,17,μg/m3
金門,2019-12-11,37,μg/m3
馬祖,2019-12-11,27,μg/m3
宜蘭,2019-12-11,12,μg/m3
陽明,2019-12-11,10,μg/m3
花蓮,2019-12-11,10,μg/m3
臺東,2019-12-11,9,μg/m3
恆春,2019-12-11,9,μg/m3
屏東,2019-12-11,22,μg/m3
前金,2019-12-11,,μg/m3
美濃,2019-12-11,19,μg/m3
臺南,2019-12-11,34,μg/m3
新營,2019-12-11,,μg/m3
嘉義,2019-12-11,30,μg/m3
朴子,2019-12-11,,μg/m3
斗六,2019-12-11,26,μg/m3
南投,2019-12-11,22,μg/m3
彰化,2019-12-11,22,μg/m3
忠明,2019-12-11,19,μg/m3
豐原,2019-12-11,15,μg/m3
三義,2019-12-11,14,μg/m3
苗栗,2019-12-11,16,μg/m3
新竹,2019-12-11,17,μg/m3
竹東,2019-12-11,13,μg/m3
平鎮,2019-12-11,15,μg/m3
桃園,2019-12-11,14,μg/m3
萬華,2019-12-11,15,μg/m3
士林,2019-12-11,14,μg/m3
板橋,2019-12-11,17,μg/m3
汐止,2019-12-11,15,μg/m3
基隆,2019-12-11,13,μg/m3
馬公,2019-12-08,16,μg/m3
金門,2019-12-08,20,μg/m3
馬祖,2019-12-08,22,μg/m3
宜蘭,2019-12-08,9,μg/m3
陽明,2019-12-08,,μg/m3
花蓮,2019-12-08,7,μg/m3
臺東,2019-12-08,6,μg/m3
恆春,2019-12-08,6,μg/m3
屏東,2019-12-08,17,μg/m3
前金,2019-12-08,19,μg/m3
美濃,2019-12-08,12,μg/m3
臺南,2019-12-08,14,μg/m3
新營,2019-12-08,12,μg/m3
