MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
D01109,臺南市南區新建路(開南里活動中心東南側)落地型變壓器量測(P9481、EC28),2019-07-09,臺南市,南區,臺南市南區新建路,落地型變壓器,16.49,mG,True
D01108,臺南市南區中華南路二段南華公園(新興國宅公車站牌東側)落地型變壓器量測(P9480、GE5802),2019-07-09,臺南市,南區,臺南市南區中華南路二段南華公園,落地型變壓器,40.54,mG,True
X10255,澎湖縣成功國民小學,2019-07-03,澎湖縣,湖西鄉,成功村1之4號,學校極低頻設施,30.9,mG,True
P10377,台電麥寮服務所_落地型變壓器(K0455 ED35),2019-07-09,雲林縣,麥寮鄉,雲林縣麥寮鄉中華路85號,落地型變壓器,19.8,mG,True
D01106,臺南市南區鯤鯓路(臺南市政府警察局交通警察大隊北側)落地型變壓器量測(P9480、EB89),2019-07-09,臺南市,南區,臺南市南區鯤鯓路27號,落地型變壓器,47.21,mG,True
X10254,澎湖縣嵵裡國民小學,2019-06-24,澎湖縣,馬公市,嵵裡里114號,學校極低頻設施,2.9,mG,True
B01140,崇光國小旁落地型變壓器,2019-06-22,臺中市,大里區,大明路181號,落地型變壓器,31.9,mG,True
B01139,益成幼兒園旁落地型變壓器,2019-06-22,臺中市,大里區,益民路一段498號,落地型變壓器,20.94,mG,True
D01102,臺南市中西區(政府警察局第二分局博愛派出所)落地型變壓器量測(P9787、HD29),2019-06-17,臺南市,中西區,臺南市中西區興華街45號,落地型變壓器,94.22,mG,True
D01101,臺南市東區東寧路(東寧運動公園)落地型變壓器量測(P9987、FC2001),2019-06-17,臺南市,東區,臺南市東區東寧路東寧運動公園,落地型變壓器,1.852,mG,True
E01269,HE108-06-002 (FM港都廣播電臺),2019-06-26,高雄市,三民區,民族一路80號46樓之一,FM廣播電臺,0.0016,mW/cm<sup>2</sup>,True
E01268,HE108-06-001(FM南臺灣之聲廣播電臺),2019-06-26,高雄市,苓雅區,新光路38號38樓之一,FM廣播電臺,0.0027,mW/cm<sup>2</sup>,True
D01103,臺南市中西區興華街(郵局臺南3支局)落地型變壓器量測(P9787、HD18),2019-06-17,臺南市,中西區,臺南市中西區興華街37號,落地型變壓器,11.35,mG,True
O01125,新竹市天府路一段落地型變壓器量測,2019-06-18,新竹市,北區,新竹市天府路一段與中清路路口,落地型變壓器,5.25,mG,True
O01123,新竹市金農路落地型變壓器量測,2019-06-18,新竹市,北區,新竹市金農路與金農路42巷,落地型變壓器,12.45,mG,True
B01138,臺中市大里區大明路168號(全家),2019-06-22,臺中市,大里區,大明路168號,無線區域網路(Wi-Fi),0.002,mW/cm<sup>2</sup>,True
B01137,臺中市大里區大明路238號(7-11),2019-06-22,臺中市,大里區,大里區大明路238號,無線區域網路(Wi-Fi),0.002,mW/cm<sup>2</sup>,True
D01100,臺南市東區東寧路229號(寶雅臺南東寧店)落地型變壓器量測(P9987、GB46),2019-06-17,臺南市,東區,臺南市東區東寧路229號,落地型變壓器,2.208,mG,True
O01119,新竹市北大路與府後街路口落地型變壓器量測,2019-06-18,新竹市,北區,新竹市北大路與府後街路口,落地型變壓器,10.57,mG,True
