UNIQUE_IDENTIFIER,PRODUCT_TYPE,PRODUCT,NAME,EVENT,APPLICANT,DATE_OF_EXPIRATION,DATE_OF_APPROVAL
"MON-877Ø8-9xMON-89788-1","Stacked trait","Soybean","MON87708 × MON89788 Soybean","MON87708xMON89788","香港商孟山都遠東股份有限公司台灣分公司","2019-09-24","2014-09-24"
"DAS-4Ø278-9","Single trait","Corn","DAS-40278-9 Corn","DAS-40278-9","Dow AgroSciences Taiwan Ltd.","2021-11-07","2011-11-07"
"MON-89Ø34-3","Single trait","Corn","Insect-resistant Corn","MON89034","香港商孟山都遠東股份有限公司台灣分公司","2018-07-25","2008-07-25"
"SYN-E3272-5xSYN-BTØ11-1xSYN-IR6Ø4-5xMON-ØØØ21-9","Stacked trait","Corn","3272xBt11xMIR604xGA21 Maize","3272xBt11xMIR604xGA21","Syngenta Taiwan Ltd.","2021-09-05","2011-09-05"
"ACS-BNØØ3-6","Single trait","Canola","Herbicide Tolerant Genetically Modified Canola","RF3","Bayer Taiwan Ltd.","2020-03-17","2015-03-17"
"SYN-IR1Ø2-7","Single trait","Cotton","Insect-resistant Cotton","COT102","Syngenta Taiwan Ltd.","2020-01-20","2015-01-20"
"MON-87411-9","Single trait","Corn","Corn Rootworm Protected and Glyphosate Tolerant Maize","MON87411","香港商孟山都遠東股份有限公司台灣分公司","2020-08-17","2015-08-17"
"ACS-GHØØ1-3","Single trait","Cotton","Herbicide Tolerant Genetically Modified Cotton","LLCotton25","Bayer Taiwan Ltd.","2020-04-19","2015-04-19"
"SYN-BTØ11-1xSYN-IR162-4xSYN-IR6Ø4-5xMON-ØØØ21-9","Stacked trait","Corn","Bt11xMIR162xMIR604xGA21 Maize","Bt11xMIR162xMIR604xGA21","Syngenta Taiwan Ltd.","2021-05-30","2011-05-30"
"MON-88913-8","Single trait","Cotton","Roundup Ready Flex Cotton","MON88913","香港商孟山都遠東股份有限公司台灣分公司","2020-05-25","2015-05-25"
