國際統一編號,產品類型,種類,品名,轉殖品系,申請者,核准日期,有效期限
"SYN-E3272-5","單一品系","玉米","阿法澱粉酶基因改造玉米","3272","台灣先正達股份有限公司","2010-07-26","2020-07-26"
"MON-8746Ø-4","單一品系","玉米","耐旱基因改造玉米","MON87460","香港商孟山都遠東股份有限公司台灣分公司","2011-11-03","2021-11-03"
"ACS-ZMØØ3-2","單一品系","玉米","抗除草劑固殺草基因改造玉米 Liberty Link","T25","台灣拜耳股份有限公司","2002-08-16","2022-08-16"
"MON-877Ø8-9","單一品系","黃豆","耐汰克草基因改造黃豆","MON87708","香港商孟山都遠東股份有限公司台灣分公司","2013-04-02","2018-04-02"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-88Ø17-3xDAS-59122-7xDAS-4Ø278-9","混合品系","玉米","混合型基因改造玉米","MON89034xTC1507xMON88017xDAS-59122-7xDAS-40278-9","台灣道禮股份有限公司","2014-05-07","2019-05-07"
"DAS-Ø15Ø7-1xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","TC1507xMIR604xNK603","台灣杜邦股份有限公司","2011-12-01","2021-12-01"
"MON-883Ø2-9","單一品系","油菜","耐除草劑基因改造油菜","MON88302","香港商孟山都遠東股份有限公司台灣分公司","2015-12-21","2020-12-21"
"MON-887Ø1-3","單一品系","棉花","耐除草劑基因改造棉花","MON88701","香港商孟山都遠東股份有限公司台灣分公司","2016-01-18","2021-01-18"
"MON-89Ø34-3xMON-88Ø17-3","混合品系","玉米","混合型抗蟲暨耐嘉磷塞基因改造玉米","MON89034xMON88017","香港商孟山都遠東股份有限公司台灣分公司","2009-02-17","2019-02-17"
"SYN-IR1Ø2-7xMON-15985-7xMON-88913-8xMON-887Ø1-3","混合品系","棉花","混合型基因改造棉花","COT102xMON15985xMON88913xMON88701","香港商孟山都遠東股份有限公司台灣分公司","2017-08-01","2022-08-01"
"MON-ØØ531-6","單一品系","棉花","保鈴棉基因改造棉花","MON531","香港商孟山都遠東股份有限公司台灣分公司","2015-06-08","2020-06-08"
"MON-887Ø1-3xMON-88913-8xMON-15985-7","混合品系","棉花","混合型基因改造棉花","MON88701xMON88913xMON15985","香港商孟山都遠東股份有限公司台灣分公司","2017-08-03","2022-08-03"
"MON-887Ø1-3xMON-88913-8","混合品系","棉花","混合型基因改造棉花","MON88701xMON88913","香港商孟山都遠東股份有限公司台灣分公司","2017-08-03","2022-08-03"
"DP-ØØ4114-3xMON-ØØ81Ø-6xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","4114xMON810xMIR604xNK603","台灣杜邦股份有限公司","2015-08-03","2020-08-03"
"MON-Ø1445-2","單一品系","棉花","耐嘉磷塞基因改造棉花","MON1445","香港商孟山都遠東股份有限公司台灣分公司","2015-06-13","2020-06-13"
"ACS-BNØØ5-8xACS-BNØØ3-6","混合品系","油菜","混合型基因改造油菜","MS8xRF3","台灣拜耳股份有限公司","2015-06-26","2020-06-26"
"MON-87427-7","單一品系","玉米","製種用組織選擇性耐嘉磷塞基因改造玉米","MON87427","香港商孟山都遠東股份有限公司台灣分公司","2012-10-24","2022-10-24"
"ACS-GMØØ5-3","單一品系","黃豆","耐固殺草基因改造黃豆","A2704-12","台灣拜耳股份有限公司","2007-05-01","2022-05-01"
"MON-87427-7xMON-89Ø34-3xSYN-IR162-4xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","MON87427xMON89034xMIR162xNK603","香港商孟山都遠東股份有限公司台灣分公司","2016-05-05","2021-05-05"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6","混合品系","玉米","混合型基因改造玉米","TC1507xMON810","台灣杜邦股份有限公司","2014-11-20","2019-11-20"
"MON-ØØØ21-9xACS-ZMØØ3-2","混合品系","玉米","混合型基因改造玉米","GA21xT25","台灣先正達股份有限公司","2014-11-21","2019-11-21"
"MON-ØØØ21-9","單一品系","玉米","耐嘉磷塞基因改造玉米","GA21","台灣先正達股份有限公司","2008-07-23","2018-07-23"
"DP-Ø73496-4","單一品系","油菜","耐嘉磷塞基因改造油菜","73496","台灣杜邦股份有限公司","2016-05-13","2021-05-13"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","TC1507xMON810xMIR604xNK603","台灣杜邦股份有限公司","2014-09-02","2019-09-02"
"DAS-444Ø6-6","單一品系","黃豆","耐除草劑基因改造黃豆","DAS-44406-6","台灣道禮股份有限公司","2014-09-04","2019-09-04"
"BCS-GHØØ2-5xACS-GHØØ1-3","混合品系","棉花","混合型基因改造棉花","GHB614xLLCotton25","台灣拜耳股份有限公司","2015-12-14","2020-12-14"
"MON-877Ø5-6xMON-89788-1","混合品系","黃豆","混合型低飽和脂肪及高油酸暨耐嘉磷塞基因改造黃豆","MON87705xMON89788","香港商孟山都遠東股份有限公司台灣分公司","2014-09-04","2019-09-04"
"MON-ØØ531-6xMON-Ø1445-2","混合品系","棉花","混合型基因改造棉花","MON531xMON1445","香港商孟山都遠東股份有限公司台灣分公司","2015-12-12","2020-12-12"
"MON-88913-8xMON-15985-7","混合品系","棉花","混合型基因改造棉花","MON88913xMON15985","香港商孟山都遠東股份有限公司台灣分公司","2015-12-10","2020-12-10"
"ACS-GMØØ6-4","單一品系","黃豆","耐固殺草基因改造黃豆","A5547-127","台灣拜耳股份有限公司","2010-08-31","2020-08-31"
"SYN-Ø53Ø7-1","單一品系","玉米","抗蟲基因改造玉米","5307","台灣先正達股份有限公司","2012-12-17","2017-12-17"
"MON-877Ø5-6","單一品系","黃豆","低飽和脂肪及高油酸基因改造黃豆","MON87705","香港商孟山都遠東股份有限公司台灣分公司","2013-02-08","2018-02-08"
"BPS-CV-127-9","單一品系","黃豆","耐二氮雜戊烯除草劑基因改造黃豆","BPS-CV-127-9","台灣巴斯夫股份有限公司","2013-04-16","2018-04-16"
"MON-8746Ø-4xMON-89Ø34-3xMON-88Ø17-3","混合品系","玉米","混合型耐旱暨抗蟲及耐嘉磷塞基因改造玉米","MON87460xMON89034xMON88017","香港商孟山都遠東股份有限公司台灣分公司","2012-07-27","2022-07-27"
"MON-8746Ø-4xMON-89Ø34-3xMON-ØØ6Ø3-6","混合品系","玉米","混合型耐旱暨抗蟲及耐嘉磷塞基因改造玉米","MON87460xMON89034xNK603","香港商孟山都遠東股份有限公司台灣分公司","2012-07-27","2022-07-27"
"SYN-BTØ11-1xDAS-59122-7xSYN-IR6Ø4-5xDAS-Ø15Ø7-1xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","Bt11xDAS-59122-7xMIR604xTC1507xGA21","台灣先正達股份有限公司","2012-07-27","2022-07-27"
"DAS-Ø15Ø7-1xDAS-59122-7xMON-ØØ81Ø-6xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","TC1507xDAS-59122-7xMON810xMIR604xNK603","台灣杜邦股份有限公司","2012-07-27","2022-07-27"
"MON-877Ø1-2xMON-89788-1","混合品系","黃豆","混合型抗蟲暨耐嘉磷塞基因改造黃豆","MON87701xMON89788","香港商孟山都遠東股份有限公司台灣分公司","2012-09-24","2022-09-24"
"DP-3Ø5423-1xMON-Ø4Ø32-6","混合品系","黃豆","混合型基因改造黃豆","DP-305423-1x40-3-2","台灣杜邦股份有限公司","2012-06-11","2022-06-11"
"SYN-BTØ11-1xSYN-IR162-4xDAS-Ø15Ø7-1xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","Bt11xMIR162xTC1507xGA21","台灣先正達股份有限公司","2011-10-14","2021-10-14"
"MON-8746Ø-4xMON-ØØ6Ø3-6","混合品系","玉米","混合型耐旱暨耐嘉磷塞基因改造玉米","MON87460xNK603","香港商孟山都遠東股份有限公司台灣分公司","2012-07-27","2022-07-27"
"SYN-EV176-9","單一品系","玉米","抗蟲及耐固殺草基因改造玉米","Event176","台灣先正達股份有限公司","2004-06-02","2018-06-02"
"SYN-BTØ11-1xSYN-IR6Ø4-5xDAS-Ø15Ø7-1xSYN-Ø53Ø7-1xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","Bt11xMIR604xTC1507x5307xGA21","台灣先正達股份有限公司","2013-09-10","2018-09-10"
"SYN-BTØ11-1xSYN-IR6Ø4-5xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","Bt11xMIR604xGA21","台灣先正達股份有限公司","2009-08-03","2019-08-03"
"DAS-Ø15Ø7-1xDAS-59122-7xMON-ØØ81Ø-6xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","TC1507xDAS-59122-7xMON810xNK603","台灣杜邦股份有限公司","2011-05-30","2021-05-30"
"DAS-8191Ø-7","單一品系","棉花","耐除草劑基因改造棉花","DAS-81910-7","台灣道禮股份有限公司","2016-08-22","2021-08-22"
"MON-883Ø2-9xACS-BNØØ3-6","混合品系","油菜","混合型基因改造油菜","MON88302xRF3","香港商孟山都遠東股份有限公司台灣分公司","2017-08-25","2022-08-25"
"KM-ØØØH71-4","單一品系","甜菜","耐嘉磷塞基因改造甜菜","H7-1","香港商孟山都遠東股份有限公司台灣分公司","2015-12-14","2020-12-14"
"MON-87769-7","單一品系","黃豆","十八碳四烯酸基因改造黃豆","MON87769","香港商孟山都遠東股份有限公司台灣分公司","2013-12-16","2018-12-16"
