縣市,業者名稱,地址,公告類別,每日最大安全生產量_餐食份
"新竹市","協呈食品股份有限公司","新竹市香山區鹽水里中華路6段67巷1之1、1之2號","餐盒食品工廠","10,000"
"新竹市","蕓慶企業有限公司","新竹市香山區埔前里牛埔南路173號","餐盒食品工廠","10,000"
"新竹市","偉珍有限公司","新竹市豐功里東美路105號","餐盒食品工廠","5,000"
"新竹市","泳翔食品股份有限公司","新竹市千甲里千甲路436巷6號","餐盒食品工廠","12,000"
"宜蘭縣","慶豐企業社","宜蘭縣五結鄉上四村福德路87-1號","餐盒食品工廠","10,000"
"宜蘭縣","名台食品股份有限公司","宜蘭縣五結鄉成興村利興二路5號","餐盒食品工廠","10,000"
"宜蘭縣","全順餐盒食品工廠","宜蘭縣員山鄉深溝村惠民路342號","餐盒食品工廠","10,000"
"宜蘭縣","宜珍實業社","宜蘭縣宜蘭市慈安里宜興路三段202號","餐盒食品工廠","14,000"
"苗栗縣","永禾餐盒有限公司","苗栗縣苑裡鎮苑港里二鄰10-52號","餐盒食品工廠","6,000"
"苗栗縣","味康餐盒工廠","苗栗縣苗栗市水源里8鄰育民街45號","餐盒食品工廠","4,500"
"苗栗縣","高雄空廚股份有限公司竹苗廠","苗栗縣竹南鎮公館里6鄰公館仔75-1號","餐盒食品工廠","125,000"
"苗栗縣","宣泰食品有限公司","苗栗縣苗栗市文聖里20鄰經國路6段230號","餐盒食品工廠","15,000"
"苗栗縣","好又香便當工廠","苗栗縣頭份鎮後庄里7鄰中央路920號","餐盒食品工廠","6,000"
"花蓮縣","香又香餐盒食品有限公司","花蓮縣花蓮市美工路15號","餐盒食品工廠","2,000"
"花蓮縣","華王食品股份有限公司","花蓮縣花蓮市民心里美工六街38號","餐盒食品工廠","56,300"
"花蓮縣","尚好便當","花蓮縣吉安鄉稻香村吉豐路二段370號1樓","餐盒食品工廠(自願申請)","1,800"
"台中市","貝佳實業有限公司","臺中市太平區永平路2段100號","餐盒食品工廠","12,000"
"台中市","國苗香食品有限公司","臺中市豐原區社皮里三角路187號","餐盒食品工廠","8,000"
"台中市","家園食品股份有限公司","臺中市大里區仁化里仁美路98號","餐盒食品工廠","9,000"
"台中市","佳祥餐盒食品廠","臺中市清水區忠孝西路103號","餐盒食品工廠","12,000"
"台中市","香豪佳食品有限公司","臺中市大里區大元里大衛路49號","餐盒食品工廠","25,000"
"台中市","勝騏食品工廠有限公司大雅廠","臺中市大雅區中山北路3號","餐盒食品工廠","30,000"
"台中市","聚陽食品工廠","臺中市北區建成里東成路107號","餐盒食品工廠","16,000"
"台中市","台中空廚股份有限公司","臺中市西屯區協和里工業區十三路2號","餐盒食品工廠","8,500"
"台中市","聯引餐盒廠","臺中市大安區中庄村興安路356號","餐盒食品工廠","12,000"
"台中市","全酉股份有限公司","臺中市潭子區潭秀里中山路2段607號","餐盒食品工廠","400"
"台中市","瑞安餐盒食品工廠","臺中市大里區大元里大衛路65號","餐盒食品工廠","6,000"
"台中市","全國棧餐盒食品廠","臺中市沙鹿區斗抵里斗潭路36號","餐盒食品工廠","10,000"
"台中市","大龍棧餐飲事業有限公司工廠","臺中市大雅區四德里中清路一段237號","餐盒食品工廠","9,000"
"台中市","全誠食品有限公司","臺中市豐原區翁子里豐勢路2段75號","餐盒食品工廠","4,000"
"台中市","吉米食品有限公司","臺中市外埔區鐵山里長生路263.265號","餐盒食品工廠","20,000"
