標題,連結
"100年度輸入食品管理暨輸入查驗統計年報","http://www.fda.gov.tw/upload/133/2013020617513548415.pdf"
"101年度輸入食品管理暨輸入查驗統計年報","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mid=137&id=53&chk=6056d2d1-6213-40b9-bbb5-3c5ac2d10183&name=file1"
"102年度輸入食品管理暨輸入查驗統計年報","http://www.fda.gov.tw/TC/publicationsContent.aspx?id=77"
"103年度輸入食品管理暨輸入查驗統計年報","http://www.fda.gov.tw/TC/publicationsContent.aspx?id=100"
"104年度輸入食品管理暨輸入查驗統計年報","http://www.fda.gov.tw/TC/publicationsContent.aspx?id=109"
