工作地址,發證日期起,發證日期迄,職類等級,任職單位
"臺中市后里區福容路88號","1031216","1071215","中餐烹調丙級","福容大飯店月眉分公司"
"彰化縣彰化市南校街135號","1031216","1071215","中餐烹調丙級","彰化基督教醫院營養部"
"桃園市八德區永豐路380號","1031216","1071215","中餐烹調丙級","合味有限公司"
"屏東縣恆春鎮帆船路1000號","1031101","1071031","中餐烹調丙級","福容大飯店"
"臺南市永康區中正路928號","1031216","1071215","中餐烹調丙級","台南小南雞腿排骨飯"
"臺南市永康區中正路99號","1031216","1071215","中餐烹調丙級","正一美食廚房"
"臺南市永康區中正北路143號","1031216","1071215","中餐烹調丙級","府城牛肉湯"
"臺南市仁和路121號1樓","1031216","1071215","中餐烹調丙級","竇爸雞腿王中式速食"
"臺南市台南市永康區中正南路738號","1031216","1071215","中餐烹調丙級","祺琳池上飯包"
"臺南市永康區中正南路533號","1031216","1071215","中餐烹調丙級","遠百企業股份有限公司-台南分公司"
"臺南市東區利東街55號7樓之2","1031216","1071215","中餐烹調丙級","鼎宴企業社"
"臺南市大武街42之1號","1031216","1071215","中餐烹調丙級","全家香自助餐"
"臺南市永康區大灣路907號","1031216","1071215","中餐烹調丙級","鼎王麵食館"
"桃園市大園區中正東路442號","1031216","1071215","中餐烹調丙級","霸德國際股份有限公司"
"臺中市沙鹿區中棲路東明巷162號邊","1031216","1071215","中餐烹調丙級","立成自助餐"
"新北市板橋區莊敬路10號1樓","1031216","1071215","中餐烹調丙級","海生樓餐廳"
"竹北市縣政13路81號","1040628","1080627","中餐烹調丙級","泳翔食品(股)公司(駐縣立六家國民中學)"
"基隆市崇智街14號","1030520","1070519","中餐烹調丙級","餐飲從業員"
"彰化縣鹿港鎮大有里民族路196號A6","1040124","1080123","中餐烹調丙級",""
"新竹市新竹市千甲里千甲路436巷6號","1030102","1070101","中餐烹調丙級","泳翔食品股份有限公司"
"新竹縣竹北市文興路333號","1030920","1070919","中餐烹調丙級","萊姆產後護理之家"
"桃園市楊梅區桃園縣楊梅鎮上田里9鄰和平路98號","1040702","1080701","中餐烹調丙級","上田國小"
"平鎮區民族路雙連2段118巷51弄16號","1050604","1090603","中餐烹調丙級",""
"新竹市新竹市中華路三段130號","1061015","1101014","中餐烹調丙級","新竹市私立同信幼稚園"
