標題,連結
"97年7月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b47%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"97年8月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b48%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"97年9月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b49%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"97年10月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b410%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"97年11月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b411%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"97年12月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b412%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"103年5月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015101614473478160.pdf"
"103年6月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015100815061789792.pdf"
"103年7月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015100813592897404.pdf"
"103年8月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2015100815221916513.pdf"
"98年1月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b41%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"101年11月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013070314015232005.pdf"
"101年12月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013070314020280499.pdf"
"101年度「藥物濫用案件暨檢驗統計資料」年報","http://www.fda.gov.tw/upload/133/2013071815122080849.pdf"
"102年1月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013041814554749507.pdf"
"102年2月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013052014285787137.pdf"
"98年2月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b42%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"98年3月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b43%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"98年4月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b44%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"98年5月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b45%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"98年6月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b46%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"98年7月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b47%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"98年8月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b48%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"98年9月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b49%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99_1.pdf"
"98年10月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b410%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"98年11月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b411%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"102年3月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013061914024460242.pdf"
"102年4月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013073013411639407.pdf"
"102年5月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013082714315877154.pdf"
"102年6月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013091314481777230.pdf"
"102年7月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013110414562853835.pdf"
"98年12月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/98%e5%b9%b412%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88.pdf"
"99年1月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/99%e5%b9%b41%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"99年2月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/99%e5%b9%b42%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"99年3月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/99%e5%b9%b43%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"99年4月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/99%e5%b9%b44%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%999906024.pdf"
