標題,連結
"96年10月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/96%e5%b9%b410%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"101年6月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013070314004874910.pdf"
"101年7月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013070314010912315.pdf"
"101年8月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013070314012062389.pdf"
"101年9月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013070314013158865.pdf"
"101年10月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/2013070314014265654.pdf"
"96年11月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/96%e5%b9%b411%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99%20.pdf"
"96年12月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/96%e5%b9%b412%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"97年1月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b41%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"97年2月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b42%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"97年3月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b43%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"97年4月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b44%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"97年5月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b45%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
"97年6月藥物濫用案件暨檢驗統計資料集","http://www.fda.gov.tw/upload/133/97%e5%b9%b46%e6%9c%88%e8%97%a5%e7%89%a9%e6%bf%ab%e7%94%a8%e6%a1%88%e4%bb%b6%e6%9a%a8%e6%aa%a2%e9%a9%97%e7%b5%b1%e8%a8%88%e8%b3%87%e6%96%99.pdf"
